n_total,acad_year,season,n_in_acad_year,date,year,title,contributors_1,institutions_1,contributors_2,institutions_2,contributors_3,institutions_3,contributors_4,institutions_4,contributors_5,institutions_5,contributors_6,institutions_6,contributors_7,institutions_7,themes_1,themes_2,themes_3,themes_4,themes_5,themes_6,themes_7
204,2021-2022,Fall,2,2021-10-14,2021,Text Encoding I: EpiDoc,Gabriel Bodard,University of London,Polina Yordanova,Helsinki,,,,,,,,,,,,,,,,,
205,2021-2022,Fall,3,2021-10-21,2021,Text Analysis with Voyant,Aurélien Berra,Université Paris-Nanterre,Gabriel Bodard,University of London,Christopher Ohge,University of London,,,,,,,,,,,,,,,
206,2021-2022,Fall,4,2021-10-28,2021,Text Encoding II: Objects,Gabriel Bodard,University of London,Scott DiGiulio,Mississippi State,,,,,,,,,,,,,,,,,
207,2021-2022,Fall,5,2021-11-04,2021,Research with Treebanks,Nicole Iu,University of London,Francesco Mambrini,Milan,Marja Vierros,University of Helsinki,,,,,,,,,,,,,,,
208,2021-2022,Fall,6,2021-11-11,2021,cancelled,,,,,,,,,,,,,,,,,,,,,
209,2021-2022,Fall,7,2021-11-18,2021,Translation and Text Alignment,Chiara Palladino,Furman,Farnoosh Shamsian,Leipzig,Maia Shukhosvili,Tbilisi,,,,,,,,,,,,,,,
210,2021-2022,Fall,8,2021-11-25,2021,Text and Web Annotation,Monica Berti,Leipzig,Valeria Vitale,Alan Turing Institute,,,,,,,,,,,,,,,,,
211,2021-2022,Fall,9,2021-12-02,2021,Computational Linguistics,Alek Keersmaekers,Katholieke Universiteit Leuven,Martina Astrid Rodda,Oxford University,,,,,,,,,,,,,,,,,
212,2021-2022,Spring,10,2022-01-13,2022,Crowdsourcing and cultural heritage,Gabriel Bodard,University of London,Richard Nevell,Wikimedia UK,John Pearce,KCL,,,,,,,,,,,,,,,
213,2021-2022,Spring,11,2022-01-20,2022,"Museum data, access and metadata",Paula Granados García,British Museum,Susanne Töpfer,Museo Egizio Torino,,,,,,,,,,,,,,,,,
214,2021-2022,Spring,12,2022-01-27,2022,3D imaging in museum research,Gabriel Bodard,University of London,Daniel O'Flynn,British Museum,Dan Pett,Cambridge,,,,,,,,,,,,,,,
215,2021-2022,Spring,13,2022-02-03,2022,Digital heritage collections,Paula Granados García,British Museum,Rhiannon Lewis,University of London & Science Museums Group,Stella Wisdom,British Library,,,,,,,,,,,,,,,
216,2021-2022,Spring,14,2022-02-10,2022,3D modelling and reconstruction,Orly Lewis,Hebrew University of Jerusalem,Tosca Lynch,University of Oxford,Gabriel Bodard,University of London,,,,,,,,,,,,,,,
217,2021-2022,Spring,15,2022-02-17,2022,Linked geographical data and annotation,Paula Granados García,British Museum,Valeria Vitale,Alan Turing Institute,,,,,,,,,,,,,,,,,
218,2021-2022,Spring,16,2022-02-24,2022,Reuse of heritage data and open licenses,Douglas McCarthy,Europeana Foundation,Andrea Wallace,University of Exter UK,,,,,,,,,,,,,,,,,
219,2021-2022,Spring,17,2022-03-03,2022,Geographic Information Systems,Sarah Murray,Toronto,Rebecca Seifried,UMass Amherst,,,,,,,,,,,,,,,,,
220,2021-2022,Spring,18,2022-03-10,2022,"Archaeology, VR and other gaming technologies",Coré Ferrer-Alcantud,Universitat Jaume I,Andrew Reinhard,New York University,,,,,,,,,,,,,,,,,
